timestamp,src_ip,dst_ip,src_port,dst_port,protocol,flags,packets,bytes,duration,src_country,attack_type,hour,is_attack
2023-01-01 00:00:00,192.168.103.180,10.0.132.86,45485,22,HTTPS,R,517,1003,9.844155533918657,CN,Normal,0,0
2023-01-01 00:00:30,192.168.93.15,10.0.243.183,64138,8443,UDP,FA,495,3556,30.13905113548484,FR,Normal,0,0
2023-01-01 00:01:00,192.168.107.72,10.0.231.228,31932,1433,TCP,FA,1,50,0.0510996774863265,DE,Port Scan,0,1
2023-01-01 00:01:30,192.168.189.21,10.0.162.27,12075,445,TCP,R,1,54,0.014183806837733546,IN,Port Scan,0,1
2023-01-01 00:02:00,192.168.103.122,10.0.7.131,37770,8080,FTP,R,1,57,0.08613021411647001,Unknown,Port Scan,0,1
2023-01-01 00:02:30,192.168.211.215,10.0.175.225,16635,8443,UDP,FA,106,9586,3.310191737664608,IN,Normal,0,0
2023-01-01 00:03:00,192.168.75.203,10.0.2.234,5514,25,TCP,R,556,8751,20.19368964506587,IN,Normal,0,0
2023-01-01 00:03:30,192.168.88.117,10.0.80.153,63125,80,FTP,P,206,1228,17.770018637679826,JP,Normal,0,0
2023-01-01 00:04:00,192.168.100.104,10.0.60.207,51028,21,UDP,F,58,2282,15.622063996571745,Unknown,Brute Force,0,1
2023-01-01 00:04:30,192.168.152.131,10.0.24.15,61658,8080,HTTPS,SA,792,5539,8.06400138631308,FR,Normal,0,0
2023-01-01 00:05:00,192.168.150.53,10.0.95.142,32337,53,UDP,S,118,8308,1.4961425927571446,CN,Normal,0,0
2023-01-01 00:05:30,192.168.2.88,10.0.182.206,64701,443,HTTPS,FA,480,3138,1.40643211663512,JP,SQL Injection,0,1
2023-01-01 00:06:00,192.168.236.158,10.0.134.206,7401,8443,ICMP,R,780,393,1.3478011502876468,DE,Normal,0,0
2023-01-01 00:06:30,192.168.38.130,10.0.81.18,10927,53,FTP,SA,690,7850,19.283491779396748,RU,Normal,0,0
2023-01-01 00:07:00,192.168.192.188,10.0.20.115,15591,443,TCP,R,1,43,0.07651551850882458,RU,Port Scan,0,1
2023-01-01 00:07:30,192.168.21.161,10.0.190.209,23909,443,HTTPS,RA,371,8404,16.530106359347258,CN,Normal,0,0
2023-01-01 00:08:00,192.168.204.58,10.0.208.40,60893,1433,TCP,F,1,66,0.08510747830806381,FR,Port Scan,0,1
2023-01-01 00:08:30,192.168.22.253,10.0.39.180,29246,23,TCP,R,281,8388,1.1096971149712094,IN,Normal,0,0
2023-01-01 00:09:00,192.168.236.89,10.0.32.124,58290,8080,TCP,R,435,2370,23.228200593293934,RU,Normal,0,0
2023-01-01 00:09:30,192.168.49.219,10.0.108.201,49580,25,HTTPS,P,117,1363,22.782648479452348,CN,Normal,0,0
2023-01-01 00:10:00,192.168.59.170,10.0.27.110,27630,8080,HTTPS,F,654,7292,10.166962370227013,BR,SQL Injection,0,1
2023-01-01 00:10:30,192.168.220.188,10.0.180.97,58604,445,UDP,F,2695,296450,2.747520533442095,JP,DoS,0,1
2023-01-01 00:11:00,192.168.208.15,10.0.191.74,18464,8080,HTTPS,FA,541,6354,10.421533019362117,US,Normal,0,0
2023-01-01 00:11:30,192.168.190.190,10.0.191.17,3284,443,TCP,U,8454,8225742,1.2805103410454461,JP,DoS,0,1
2023-01-01 00:12:00,192.168.175.190,10.0.241.49,31291,445,TCP,F,87,888,8.883358201746965,DE,Normal,0,0
2023-01-01 00:12:30,192.168.51.108,10.0.228.81,28026,1433,TCP,A,187,5849,34.908573329033395,CN,Normal,0,0
2023-01-01 00:13:00,192.168.55.244,10.0.210.116,59393,8080,HTTP,F,612,6021,1.2023703782797057,CN,Normal,0,0
2023-01-01 00:13:30,192.168.64.249,10.0.23.98,51084,25,UDP,SA,1,84,0.04111706523974223,IN,Port Scan,0,1
2023-01-01 00:14:00,192.168.131.229,10.0.72.141,17857,53,HTTPS,R,255,6830,7.425270381376158,RU,Normal,0,0
2023-01-01 00:14:30,192.168.51.135,10.0.151.57,50744,80,HTTPS,SA,396,4761,2.9922652112975374,US,SQL Injection,0,1
2023-01-01 00:15:00,192.168.21.73,10.0.190.182,4522,443,TCP,S,178,8129,49.294385179489204,UK,Normal,0,0
2023-01-01 00:15:30,192.168.167.18,10.0.148.86,61228,25,HTTPS,U,140,7792,12.739317667372699,IN,Normal,0,0
2023-01-01 00:16:00,192.168.132.89,10.0.239.180,47753,80,TCP,S,82,1503,5.69119543040228,IN,Normal,0,0
2023-01-01 00:16:30,192.168.60.14,10.0.23.105,11542,22,DNS,SA,51,1943,23.30385742829467,KR,Brute Force,0,1
2023-01-01 00:17:00,192.168.242.250,10.0.163.67,13525,21,TCP,U,432,9020,1.5600715777159078,Unknown,Normal,0,0
2023-01-01 00:17:30,192.168.9.90,10.0.34.33,23278,21,TCP,S,946,5277,3.3954392167264307,UK,Normal,0,0
2023-01-01 00:18:00,192.168.53.130,10.0.46.81,35100,1433,UDP,RA,8009,5470147,2.7751379261699443,BR,DoS,0,1
2023-01-01 00:18:30,192.168.84.92,10.0.173.147,16926,445,TCP,F,368,7852,8.14122171618201,RU,Normal,0,0
2023-01-01 00:19:00,192.168.111.188,10.0.222.87,34509,8443,TCP,SA,767,4051,25.340515170387313,DE,Normal,0,0
2023-01-01 00:19:30,192.168.199.172,10.0.15.123,26569,21,UDP,S,53,635,41.48217255122084,US,Normal,0,0
2023-01-01 00:20:00,192.168.253.8,10.0.121.78,4369,3389,TCP,FA,119,4388,4.466404246124857,CN,Brute Force,0,1
2023-01-01 00:20:30,192.168.175.35,10.0.66.39,16394,3389,TCP,FA,369,4713,8.591662966862321,RU,Normal,0,0
2023-01-01 00:21:00,192.168.206.81,10.0.241.18,65382,22,TCP,RA,667,1750,18.753235808064403,IN,Normal,0,0
2023-01-01 00:21:30,192.168.164.50,10.0.198.187,57390,8443,UDP,A,579,8680,3.184727287842674,FR,Normal,0,0
2023-01-01 00:22:00,192.168.104.132,10.0.160.21,57858,25,TCP,U,973,2696,5.919529631763501,BR,Normal,0,0
2023-01-01 00:22:30,192.168.2.254,10.0.168.220,47745,21,TCP,F,742,2650,1.6643209186679886,RU,Normal,0,0
2023-01-01 00:23:00,192.168.134.54,10.0.27.2,60853,22,UDP,U,1,44,0.06504612715652763,FR,Port Scan,0,1
2023-01-01 00:23:30,192.168.106.4,10.0.97.208,29255,53,HTTP,F,361,2285,0.04203226617970548,BR,Normal,0,0
2023-01-01 00:24:00,192.168.54.221,10.0.39.214,52894,445,HTTP,S,915,1712,5.965801291022544,Unknown,Normal,0,0
2023-01-01 00:24:30,192.168.191.146,10.0.56.107,42887,80,TCP,A,1,45,0.033379558196010545,FR,Port Scan,0,1
